player,Overall,Nationality,Team,Archetype,Position1,Position2,Height,Weight,Jersey,Year(s) in the NBA,Prior to NBA,Rank current,Rank all,Outside Scoring,Athleticism,Inside Scoring,Playmaking,Defending,Rebounding,Intangibles,Potential,Total Attributes,Close Shot,Mid-Range Shot,Three-Point Shot,Free Throw,Shot IQ,Offensive Consistency,Speed,Acceleration,Strength,Vertical,Stamina,Hustle,Overall Durability,Layup,Standing Dunk,Driving Dunk,Post Hook,Post Fade,Post Control,Draw Foul,Hands,Pass Accuracy,Ball Handle,Speed with Ball,Pass IQ,Pass Vision,Interior Defense,Perimeter Defense,Steal,Block,Lateral Quickness,Help Defense IQ,Pass Perception,Defensive Consistency,Offensive Rebound,Defensive Rebound,Team_Category
Trae Young,88,United States,Atlanta Hawks,Offensive Threat,PG,-,185,81,11,2,Oklahoma,19,410,89,79,54,89,48,43,65,92,2592,88,92,86,86,84,98,84,87,50,78,95,75,86,89,25,30,28,60,34,84,80,80,92,84,96,92,31,55,42,30,70,58,70,30,33,53,Current
John Collins,85,United States,Atlanta Hawks,Inside-Out Scorer,PF,C,206,106,20,3,Wake Forest,42,641,87,80,83,49,59,76,80,86,2780,88,80,83,80,98,95,71,65,66,85,92,96,84,82,95,93,77,75,83,72,85,37,60,50,66,34,74,49,38,80,57,74,38,60,67,85,Current
Clint Capela,82,Switzerland,Atlanta Hawks,Glass-Cleaning Lockdown,C,-,208,108,17,6,Switzerland,68,793,65,79,73,36,70,90,25,84,2555,73,60,25,53,95,85,58,57,85,80,92,97,83,78,95,80,71,48,69,74,70,34,48,30,35,31,84,53,40,83,60,86,74,80,88,92,Current
Jeff Teague,78,United States,Atlanta Hawks,Playmaker,PG,-,191,88,0,1,Wake Forest,133,969,78,80,53,81,63,40,75,78,2597,78,72,80,87,78,70,81,83,61,78,92,80,86,72,25,70,33,40,29,60,95,81,86,81,84,75,25,78,42,51,78,78,85,70,34,46,Current
De’Andre Hunter,75,United States,Atlanta Hawks,Mid-Range Specialist,SF,PF,201,101,12,1,Virginia,221,1,64,78,61,61,65,47,60,84,2480,63,82,79,76,50,35,76,78,65,75,90,80,80,68,65,70,51,52,51,40,90,67,70,69,64,35,63,81,37,42,85,78,60,75,36,58,Current
Kevin Huerter,75,United States,Atlanta Hawks,3PT Specialist,SG,SF,201,86,3,2,Maryland,223,1,76,76,51,73,55,45,75,81,2443,83,74,82,83,75,60,84,78,50,75,85,75,83,73,30,65,25,58,35,45,80,74,76,72,76,65,44,64,42,52,72,63,64,35,35,55,Current
Damian Jones,74,United States,Atlanta Hawks,Interior Big,C,-,211,110,30,4,Vanderbilt,285,1,71,76,68,37,58,67,70,75,2430,84,66,57,74,85,60,63,55,80,92,80,85,78,75,85,75,52,40,70,64,84,34,35,38,48,31,76,40,42,77,42,80,40,65,67,66,Current
Skal Labissiere,74,Haiti,Atlanta Hawks,Mid-Range Specialist,PF,C,208,106,7,4,Kentucky,295,1,69,74,67,50,55,76,45,74,2422,88,85,70,76,65,30,63,59,64,81,80,85,83,66,75,75,79,79,44,40,76,37,57,52,66,40,66,49,32,82,57,67,38,45,80,72,Current
Cameron Reddish,73,United States,Atlanta Hawks,Offense Initiator,SF,SG,203,94,22,1,Duke,297,1,63,79,60,66,66,47,40,84,2486,63,70,76,80,50,40,85,86,52,84,90,75,80,73,50,80,43,52,47,52,85,68,81,79,69,35,55,79,56,55,81,68,80,50,36,57,Current
Bruno Fernando,73,Angola,Atlanta Hawks,Finisher,C,-,206,107,24,1,Maryland,305,1,62,81,72,51,54,73,55,77,2477,53,70,42,57,88,60,78,76,85,75,85,85,80,75,85,78,64,63,65,69,75,52,50,50,65,39,64,44,40,60,60,65,62,40,70,76,Current
DeAndre’ Bembry,73,United States,Atlanta Hawks,Slasher,SG,PG,196,95,95,4,Saint Joseph's,319,1,71,73,65,70,70,53,50,76,2596,89,55,59,54,95,75,70,70,60,72,85,75,82,84,45,75,40,51,60,72,90,75,78,67,82,46,52,75,86,56,74,70,85,60,45,61,Current
Dewayne Dedmon,72,United States,Atlanta Hawks,Mid-Range Shooter,C,-,213,110,14,7,Southern California,375,1,68,66,56,36,65,78,35,75,2284,79,73,51,81,85,40,44,39,79,66,77,75,80,47,60,60,55,46,59,61,59,25,44,31,52,29,78,48,43,83,59,78,58,75,66,89,Current
Brandon Goodwin,71,United States,Atlanta Hawks,Offensive-Minded Point,PG,-,183,81,0,2,Florida Gulf Coast,429,1,66,77,47,74,52,52,90,71,2353,66,72,73,82,50,50,84,83,52,83,80,74,81,77,30,65,30,31,29,40,71,75,76,83,70,66,34,67,41,45,72,59,58,40,38,65,Current
Treveon Graham,71,United States,Atlanta Hawks,Mid-Range Finisher,SF,PF,196,101,2,4,Virginia Commonwealth,431,1,70,74,58,51,57,54,60,71,2347,83,79,68,64,62,65,66,67,62,78,80,80,82,70,65,70,42,52,37,54,75,60,62,63,39,32,48,66,40,37,73,60,68,60,53,54,Current
Charles Brown Jr.,70,United States,Atlanta Hawks,3-Level Scorer,SG,SF,198,90,4,1,Saint Joseph's,447,1,67,70,49,65,51,34,65,75,2221,75,76,79,82,45,45,76,76,55,75,80,45,83,79,40,45,30,45,38,42,70,62,77,75,60,49,40,65,64,30,72,63,40,35,29,39,Current
Jayson Tatum,89,United States,Boston Celtics,Floor-Spacing Slasher,PF,SF,203,94,0,3,Duke,15,354,87,80,74,74,80,56,80,92,2967,80,80,85,81,98,98,79,82,65,82,95,75,80,88,50,88,50,68,65,89,95,74,86,79,78,54,77,89,59,63,87,89,90,85,40,72,Current
Kemba Walker,86,United States,Boston Celtics,Playmaking Shot Creator,PG,-,183,83,8,9,Connecticut,33,570,85,82,54,87,61,45,55,87,2673,59,91,82,87,95,98,85,90,50,81,93,90,86,86,25,30,28,60,35,80,88,89,96,85,92,72,32,75,42,55,76,72,77,60,36,53,Current
Jaylen Brown,84,United States,Boston Celtics,2-Way Scoring Machine,SG,SF,198,99,7,4,California,47,691,87,83,69,71,74,54,50,88,2843,85,88,82,74,95,95,77,81,69,84,95,95,82,86,40,85,42,44,80,79,92,75,81,76,82,40,70,87,46,47,89,86,83,85,41,67,Current
Gordon Hayward,83,United States,Boston Celtics,3-Level Scorer,SF,PF,201,101,20,0,Butler,58,747,88,77,62,75,61,55,80,85,2702,93,85,83,85,95,85,80,77,63,75,80,86,78,87,40,75,40,65,58,40,91,75,77,77,79,68,56,73,38,51,76,73,58,65,41,69,Current
Marcus Smart,80,United States,Boston Celtics,Perimeter Lockdown,SG,PG,191,99,36,6,Oklahoma State,96,873,65,81,50,68,83,44,25,80,2553,81,74,79,84,40,30,75,82,70,83,85,90,83,65,25,50,25,58,78,30,70,65,76,74,60,67,74,93,73,55,94,90,88,95,37,50,Current
Daniel Theis,79,Germany,Boston Celtics,2-Way Mid-Range Specialist,C,-,203,109,27,3,Germany,116,925,84,76,74,51,65,72,95,79,2718,89,83,76,76,95,85,57,67,82,75,90,94,65,70,79,78,74,54,73,68,95,69,49,42,54,39,79,53,40,85,54,79,57,75,71,73,Current
